a, [sea, sea, break];
among, [the];
and, [wild, in, wild, wild, in, wild, wild, wild, wild, wild, wild];
are, [the, the, the, the, the, the];
at, [the];
away, [getting];
be, [gone];
behind, [a];
break, [the, of];
by, [day, our];
chains, [of];
crossed, [the];
dawn, [without];
day, [by, see];
days, [we'll, we'll, we'll, we'll, we'll, we'll];
defending, [our, our, our];
dread, [to];
endless, [sea, sea];
equality, [among];
eyes, [faces];
faces, [pale];
fight, [for, for, for];
for, [the, the, the];
forget, [these, these, these];
gentle, [waves, waves];
getting, [stronger];
gone, [let];
guided, [by];
holes, [restrained];
in, [our, a, gentle, a, gentle];
key, [will];
leave, [behind];
let, [us, us];
lies, [the];
light, [in];
like, [shallow];
line, [way];
many, [tombs];
mass, [let];
masters, [will];
may, [touch];
moonsun, [see];
much, [resist];
never, [forget, regret, forget, regret, forget, regret];
no, [one];
of, [lies, trees, the, our, trees, the, time, dawn];
on, [when];
one, [may];
others, [that];
our, [eyes, pride, souls, pride, secret, pride];
pale, [at];
pass, [equality];
pride, [wanted, wanted, wanted];
regret, [fight, fight, fight];
remorse, [guided];
resist, [the];
restrained, [to];
right, [defending, defending, defending];
scarlet, [key];
sea, [of, these, of, these];
secret, [source];
see, [the, the];
shallow, [holes];
shine, [on];
slip, [away];
souls, [dread];
sound, [of];
source, [these];
spot, [no];
still, [shine];
stronger, [day];
surrender, [of];
that, [we];
the, [spot, line, urge, light, sound, scarlet, masters, endless, days, days, right, mass, endless, days, days, right, chains, days, days, right];
these, [are, are, are, are, are, are];
think, [like];
time, [too];
to, [slip, think, others];
tombs, [we];
too, [much, many];
touch, [crossed];
trees, [and, and];
up, [in, in];
urge, [to];
us, [wake, wake];
wake, [up, up];
wanted, [and, and, and, and, and, and, and, and, and];
waves, [of, of];
way, [too];
we, [pass, will, leave];
we'll, [never, never, never, never, never, never];
we're, [wanted, wanted, wanted, wanted];
when, [the];
wild, [moonsun, we're, surrender, we're, we, we're, wanted, we're];
will, [still, be, break];
without, [remorse];
