100, [no];
15, [pontos];
150, [paises];
1997, [o];
2018, [apos];
2030, [no];
28, [de];
59, [mil];
a, [raiva, raiva, dose, vacinacao, unica, vacina, administracao, vacinacao, raiva, raiva, morte, meta, doenca, familia, raiva, varios, raiva, letalidade, partir, vacina];
acha, [que];
administracao, [municipal];
afeta, [o];
africa, [a];
agredido, [por];
ajuda, [imediata];
alertar, [sobre];
alguns, [dias];
animais, [nos];
animal, [sem, infectado, desconhecido];
ano, [–a];
anos, [as];
antes, [do];
ao, [seu];
aos, [humanos, humanos];
aplicacao, [casos];
apos, [contato, o];
arranhao, [ou];
as, [doses];
asia, [e];
ataque, [de];
ate, [2030, evoluir];
ato, [de];
atrasada, [se];
avaliara, [o];
avanco, [provocara];
bichinho, [tem];
brasil, [tem, so];
cabeca, [mal];
cacar, [um];
cachorro, [ou];
caes, [sao, e];
campanha, [de];
canina, [mas];
capital, [paulista];
carinho, [com];
carinhos, [e];
casa, [ja];
caso, [flagre];
casos, [de, mais];
causa, [nao];
causar, [reacoes];
central, [apos];
cidade, [nao];
clinicas, [particulares];
com, [a, a, o, quem, morcego, um, o];
coma, [e];
como, [febre];
comportamento, [desorientacao];
contato, [direto];
contra, [a, a, a, a];
controle, [da];
convivera, [por];
convulsao, [ate];
convulsoes, [salivacao];
custo, [se];
da, [doenca, doenca, organizacao, saude, asia, africa, vitima, para, doenca, mordida, aplicacao];
dados, [da];
de, [prevencao, vacinacao, imunizacao, carinho, setembro, 150, 59, raiva, 2018, raiva, casa, carinhos, animal, causa, incubacao, comportamento, cabeca, queimacao, mamiferos, 100];
deglutir, [desidratacao];
deixar, [o];
deixara, [a];
dependem, [do];
desconhecido, [ou];
desde, [1997];
desidratacao, [paralisia];
desorientacao, [convulsoes];
deve, [ser, ser, procurar];
devem, [ser];
dia, [mundial, 28];
dias, [a];
dificuldade, [para];
direto, [da];
do, [pet, veterinario, possivel, estagio];
doenca, [sem, nao, na, ate, incluem];
doente, [ou];
dois, [pacientes];
dor, [de, no];
dos, [sintomas, sintomas, tres];
dose, [atrasada];
doses, [sao];
e, [doenca, mata, a, controle, ela, um, com, lembrado, provoca, da, eliminar, de, lambidas, deixara, sintomas, convulsao, morte, transmitida, afeta, proxima, gatos, dor];
ela, [deve];
ele, [cacar, ja];
eliminar, [a];
em, [clinicas, mais, regioes, sao, humanos, perigo];
encontradas, [em];
entre, [alguns];
escapadinha, [do];
esta, [com, ao, presente];
estado, [nao];
estagio, [da];
estar, [formigamento];
evoluir, [para];
excessiva, [nos];
familia, [em];
febre, [tontura, e];
feita, [mesmo];
ferimentos, [de];
fixos, [de];
flagre, [seu];
foi, [vacinado];
for, [agredido];
forma, [de];
formigamento, [pontadas];
gato, [nunca];
gatos, [sadios];
graves, [sao];
ha, [pandemia, campanha, 15, tratamento];
haja, [registro];
humana, [e];
humanos, [igualmente, no, provocadas, pode, a];
identificada, [mesmo];
igualmente, [letal];
imediata, [do];
imunizacao, [a, devem];
imunizados, [caes];
incluem, [mudanca];
incubacao, [varia];
infectado, [desde, convivera];
informese, [com];
ja, [representa, seja];
justifique, [deixar];
lambedura, [de];
lambidas, [e];
lembrado, [todo];
letal, [⁃];
letalidade, [e];
leves, [como];
listo, [tres];
livia, [marra];
local, [da, da];
maioria, [em];
mais, [de, graves];
mal, [estar];
mamiferos, [e];
marra, [seu];
mas, [tambem, nao];
mata, [⁃];
meses, [os, a];
mesma, [rotina];
mesmo, [que, que];
meta, [e];
mil, [pessoas];
morcego, [infectado, doente, presencie];
morcegos, [em];
mordida, [com, arranhao];
morte, [de, a];
motivos, [para, ⁃];
mudanca, [de];
mundial, [contra, da];
mundo, [caes];
municipal, [na];
na, [sua, capital, vizinhanca, mesma];
nao, [tem, ha, ha, haja, registra, da, vacinado, identificada, ha];
nervoso, [central];
no, [mundo, brasil, local, brasil, local];
nos, [humanos, humanos];
nunca, [foi];
o, [animal, pet, dia, ultimo, estado, tutor, profissional, tratamento, periodo, avanco, sistema, surgimento];
obrigatoriamente, [todos];
ocorrer, [febre];
oferecidas, [por];
organizacao, [mundial];
os, [anos, riscos, principais, morcegos, sintomas, animais];
ou, [gato, esta, territorios, for, nao, perceba, sensacao, lambedura];
outro, [animal];
pacientes, [sobreviveram];
paises, [ou];
pandemia, [que];
para, [vacinar, alertar, relaxar, deglutir, coma, os];
paralisia, [e];
particulares, [mas];
partir, [dos];
paulista, [ha];
paulo, [o];
pela, [variante];
perceba, [que];
perigo, [o];
periodo, [de];
pessoas, [por];
pet, [contra, e, de, com];
pode, [ser, ocorrer, causar];
pontadas, [ou];
pontos, [fixos];
por, [que, prefeituras, ano, outro, semanas, mordida];
possivel, [surgimento];
prefeituras, [sem];
preocupar, [listo];
presencie, [ataque];
presente, [em];
prevencao, [e];
preventiva, [contra];
principais, [transmissores];
procurar, [ajuda];
profissional, [avaliara];
provoca, [a];
provocadas, [pela];
provocara, [dificuldade];
proxima, [de];
que, [nao, se, justifique, nao, seu, ele];
queimacao, [no];
quem, [esta];
raiva, [livia, ou, e, e, esta, humana, em, antes, e];
reacoes, [leves];
redor, [para];
regioes, [da];
registra, [casos];
registro, [da, de];
relaxar, [uma];
repetida, [obrigatoriamente];
representa, [risco];
risco, [se];
riscos, [o];
rotina, [de];
sadios, [a];
salivacao, [excessiva];
sao, [encontradas, oferecidas, os, paulo, raros];
saude, [a];
se, [voce, preocupar, na, ele];
segundo, [dados];
seja, [vacinado];
sem, [tratamento, a, custo, sintomas];
semanas, [sem];
sensacao, [de];
ser, [transmitida, repetida, feita, imunizados];
setembro, [segundo];
seu, [pet, cachorro, redor, pet, bichinho];
sido, [os];
sintomas, [na, transmissao, o, dependem, nao];
